,class,count,sum,aspect,elevation_below,year_month,season,percent_snow_cover,km2_snow,km2_all,year,month
21,225_4000,9,6,225,4000,2017-08,2017,0.6666666666666666,0.06000000000000001,0.09000000000000002,2017,08
22,90_1500,49408,5,90,1500,2017-08,2017,0.0001011981865284974,0.05000000000000001,494.0800000000001,2017,08
23,135_3000,12382,3160,135,3000,2017-08,2017,0.2552091746083024,31.600000000000005,123.82000000000002,2017,08
24,45_4500,0,0,45,4500,2017-08,2017,,0.0,0.0,2017,08
25,225_2500,22701,2397,225,2500,2017-08,2017,0.10559006211180125,23.970000000000006,227.01000000000005,2017,08
26,270_3500,2746,1339,270,3500,2017-08,2017,0.48761835396941006,13.390000000000002,27.460000000000004,2017,08
27,315_3500,3532,2189,315,3500,2017-08,2017,0.619762174405436,21.890000000000004,35.32000000000001,2017,08
28,45_2000,32185,277,45,2000,2017-08,2017,0.008606493708249185,2.7700000000000005,321.8500000000001,2017,08
29,90_3000,13201,2406,90,3000,2017-08,2017,0.18225891977880462,24.060000000000006,132.01000000000002,2017,08
30,180_3500,2232,982,180,3500,2017-08,2017,0.4399641577060932,9.820000000000002,22.320000000000004,2017,08
31,0_4500,0,0,0,4500,2017-08,2017,,0.0,0.0,2017,08
32,135_4000,14,8,135,4000,2017-08,2017,0.5714285714285714,0.08000000000000002,0.14,2017,08
33,90_2500,27594,3020,90,2500,2017-08,2017,0.10944408204682177,30.200000000000006,275.94000000000005,2017,08
34,135_2500,26251,3788,135,2500,2017-08,2017,0.14429926478991276,37.88000000000001,262.51000000000005,2017,08
35,315_2000,39226,137,315,2000,2017-08,2017,0.0034925814510783663,1.3700000000000003,392.2600000000001,2017,08
36,0_2000,35456,199,0,2000,2017-08,2017,0.005612590252707581,1.9900000000000004,354.56000000000006,2017,08
37,270_4500,0,0,270,4500,2017-08,2017,,0.0,0.0,2017,08
38,315_4500,0,0,315,4500,2017-08,2017,,0.0,0.0,2017,08
39,225_3500,2280,906,225,3500,2017-08,2017,0.3973684210526316,9.060000000000002,22.800000000000004,2017,08
40,90_4000,20,8,90,4000,2017-08,2017,0.4,0.08000000000000002,0.20000000000000004,2017,08
41,270_2000,35246,66,270,2000,2017-08,2017,0.001872552913805822,0.6600000000000001,352.4600000000001,2017,08
42,315_1500,63820,1,315,1500,2017-08,2017,1.5669069257286116e-05,0.010000000000000002,638.2000000000002,2017,08
43,180_2000,33139,205,180,2000,2017-08,2017,0.006186064757536437,2.0500000000000003,331.39000000000004,2017,08
44,180_4500,0,0,180,4500,2017-08,2017,,0.0,0.0,2017,08
45,45_3500,3164,2063,45,3500,2017-08,2017,0.6520227560050569,20.630000000000003,31.640000000000008,2017,08
46,0_1500,65477,4,0,1500,2017-08,2017,6.109015379446218e-05,0.04000000000000001,654.7700000000001,2017,08
47,270_1500,49944,1,270,1500,2017-08,2017,2.0022425116130065e-05,0.010000000000000002,499.4400000000001,2017,08
48,90_3500,2915,1497,90,3500,2017-08,2017,0.5135506003430532,14.970000000000002,29.150000000000006,2017,08
49,135_3500,2452,1174,135,3500,2017-08,2017,0.47879282218597063,11.740000000000002,24.520000000000003,2017,08
50,315_3000,15789,3768,315,3000,2017-08,2017,0.23864715941478246,37.68000000000001,157.89000000000004,2017,08
51,0_3000,15932,6143,0,3000,2017-08,2017,0.38557619884509164,61.430000000000014,159.32000000000002,2017,08
52,225_2000,27108,96,225,2000,2017-08,2017,0.0035413899955732625,0.9600000000000002,271.08000000000004,2017,08
53,270_3000,14820,2485,270,3000,2017-08,2017,0.16767881241565452,24.850000000000005,148.20000000000002,2017,08
54,45_4000,7,4,45,4000,2017-08,2017,0.5714285714285714,0.04000000000000001,0.07,2017,08
55,225_4500,0,0,225,4500,2017-08,2017,,0.0,0.0,2017,08
0,180_3000,11089,9311,180,3000,2017-09,2017,0.83966092524123,93.11000000000001,110.89000000000001,2017,09
1,45_2500,26276,13585,45,2500,2017-09,2017,0.5170117217232455,135.85000000000002,262.76000000000005,2017,09
2,0_2500,26644,13738,0,2500,2017-09,2017,0.5156132712805885,137.38000000000002,266.44000000000005,2017,09
3,180_1500,60409,1427,180,1500,2017-09,2017,0.02362230793424821,14.270000000000003,604.0900000000001,2017,09
4,135_2000,35129,2467,135,2000,2017-09,2017,0.0702268780779413,24.670000000000005,351.2900000000001,2017,09
5,0_4000,20,17,0,4000,2017-09,2017,0.85,0.17000000000000004,0.20000000000000004,2017,09
6,225_3000,12675,10311,225,3000,2017-09,2017,0.8134911242603551,103.11000000000001,126.75000000000003,2017,09
7,315_4000,25,23,315,4000,2017-09,2017,0.92,0.23000000000000004,0.25000000000000006,2017,09
8,135_4500,0,0,135,4500,2017-09,2017,,0.0,0.0,2017,09
9,90_4500,0,0,90,4500,2017-09,2017,,0.0,0.0,2017,09
10,225_1500,46051,1607,225,1500,2017-09,2017,0.03489609346159692,16.070000000000004,460.5100000000001,2017,09
11,90_2000,34105,2698,90,2000,2017-09,2017,0.07910863509749304,26.980000000000004,341.05000000000007,2017,09
12,270_2500,30397,15669,270,2500,2017-09,2017,0.5154785011678784,156.69000000000003,303.9700000000001,2017,09
13,315_2500,30520,14986,315,2500,2017-09,2017,0.4910222804718218,149.86000000000004,305.20000000000005,2017,09
14,45_3000,14562,11422,45,3000,2017-09,2017,0.784370278807856,114.22000000000003,145.62000000000003,2017,09
15,270_4000,15,14,270,4000,2017-09,2017,0.9333333333333333,0.14,0.15000000000000002,2017,09
16,180_4000,14,13,180,4000,2017-09,2017,0.9285714285714286,0.13000000000000003,0.14,2017,09
17,45_1500,51376,1125,45,1500,2017-09,2017,0.021897383992525693,11.250000000000002,513.7600000000001,2017,09
18,180_2500,23532,11551,180,2500,2017-09,2017,0.4908635050144484,115.51000000000002,235.32000000000005,2017,09
19,135_1500,59707,1065,135,1500,2017-09,2017,0.017837104527107375,10.650000000000002,597.0700000000002,2017,09
20,0_3500,3387,3119,0,3500,2017-09,2017,0.9208739297313256,31.190000000000005,33.870000000000005,2017,09
21,225_4000,9,6,225,4000,2017-09,2017,0.6666666666666666,0.06000000000000001,0.09000000000000002,2017,09
22,90_1500,49408,781,90,1500,2017-09,2017,0.015807156735751296,7.810000000000001,494.0800000000001,2017,09
23,135_3000,12382,9428,135,3000,2017-09,2017,0.7614278791794541,94.28000000000002,123.82000000000002,2017,09
24,45_4500,0,0,45,4500,2017-09,2017,,0.0,0.0,2017,09
25,225_2500,22701,11950,225,2500,2017-09,2017,0.526408528258667,119.50000000000003,227.01000000000005,2017,09
26,270_3500,2746,2375,270,3500,2017-09,2017,0.8648943918426802,23.750000000000004,27.460000000000004,2017,09
27,315_3500,3532,2932,315,3500,2017-09,2017,0.8301245753114382,29.320000000000007,35.32000000000001,2017,09
28,45_2000,32185,3014,45,2000,2017-09,2017,0.09364610843560665,30.140000000000004,321.8500000000001,2017,09
29,90_3000,13201,9361,90,3000,2017-09,2017,0.7091129459889403,93.61000000000001,132.01000000000002,2017,09
30,180_3500,2232,1985,180,3500,2017-09,2017,0.889336917562724,19.850000000000005,22.320000000000004,2017,09
31,0_4500,0,0,0,4500,2017-09,2017,,0.0,0.0,2017,09
32,135_4000,14,13,135,4000,2017-09,2017,0.9285714285714286,0.13000000000000003,0.14,2017,09
33,90_2500,27594,11759,90,2500,2017-09,2017,0.4261433644995289,117.59000000000002,275.94000000000005,2017,09
34,135_2500,26251,11513,135,2500,2017-09,2017,0.43857376861833836,115.13000000000002,262.51000000000005,2017,09
35,315_2000,39226,3516,315,2000,2017-09,2017,0.08963442614592362,35.160000000000004,392.2600000000001,2017,09
36,0_2000,35456,3328,0,2000,2017-09,2017,0.09386281588447654,33.28000000000001,354.56000000000006,2017,09
37,270_4500,0,0,270,4500,2017-09,2017,,0.0,0.0,2017,09
38,315_4500,0,0,315,4500,2017-09,2017,,0.0,0.0,2017,09
39,225_3500,2280,2037,225,3500,2017-09,2017,0.8934210526315789,20.370000000000005,22.800000000000004,2017,09
40,90_4000,20,13,90,4000,2017-09,2017,0.65,0.13000000000000003,0.20000000000000004,2017,09
41,270_2000,35246,3575,270,2000,2017-09,2017,0.10142994949781535,35.75000000000001,352.4600000000001,2017,09
42,315_1500,63820,1129,315,1500,2017-09,2017,0.017690379191476025,11.290000000000003,638.2000000000002,2017,09
43,180_2000,33139,3126,180,2000,2017-09,2017,0.09432994357101904,31.260000000000005,331.39000000000004,2017,09
44,180_4500,0,0,180,4500,2017-09,2017,,0.0,0.0,2017,09
45,45_3500,3164,2758,45,3500,2017-09,2017,0.8716814159292036,27.580000000000005,31.640000000000008,2017,09
46,0_1500,65477,1248,0,1500,2017-09,2017,0.0190601279838722,12.480000000000002,654.7700000000001,2017,09
47,270_1500,49944,1356,270,1500,2017-09,2017,0.02715040845747237,13.560000000000002,499.4400000000001,2017,09
48,90_3500,2915,2478,90,3500,2017-09,2017,0.8500857632933104,24.780000000000005,29.150000000000006,2017,09
49,135_3500,2452,2221,135,3500,2017-09,2017,0.9057911908646004,22.210000000000004,24.520000000000003,2017,09
50,315_3000,15789,12033,315,3000,2017-09,2017,0.7621128633859016,120.33000000000003,157.89000000000004,2017,09
51,0_3000,15932,13471,0,3000,2017-09,2017,0.84553100677881,134.71000000000004,159.32000000000002,2017,09
52,225_2000,27108,2840,225,2000,2017-09,2017,0.10476612070237568,28.400000000000006,271.08000000000004,2017,09
53,270_3000,14820,11544,270,3000,2017-09,2017,0.7789473684210526,115.44000000000003,148.20000000000002,2017,09
54,45_4000,7,5,45,4000,2017-09,2017,0.7142857142857143,0.05000000000000001,0.07,2017,09
55,225_4500,0,0,225,4500,2017-09,2017,,0.0,0.0,2017,09
0,180_3000,11089,8680,180,3000,2017-10,2017,0.7827576877987195,86.80000000000001,110.89000000000001,2017,10
1,45_2500,26276,19886,45,2500,2017-10,2017,0.7568123001978992,198.86000000000004,262.76000000000005,2017,10
2,0_2500,26644,20268,0,2500,2017-10,2017,0.7606965921032878,202.68000000000004,266.44000000000005,2017,10
3,180_1500,60409,2387,180,1500,2017-10,2017,0.039513979705010846,23.870000000000005,604.0900000000001,2017,10
4,135_2000,35129,10186,135,2000,2017-10,2017,0.2899598622220957,101.86000000000001,351.2900000000001,2017,10
5,0_4000,20,20,0,4000,2017-10,2017,1.0,0.20000000000000004,0.20000000000000004,2017,10
6,225_3000,12675,8669,225,3000,2017-10,2017,0.6839447731755424,86.69000000000001,126.75000000000003,2017,10
7,315_4000,25,22,315,4000,2017-10,2017,0.88,0.22000000000000003,0.25000000000000006,2017,10
8,135_4500,0,0,135,4500,2017-10,2017,,0.0,0.0,2017,10
9,90_4500,0,0,90,4500,2017-10,2017,,0.0,0.0,2017,10
10,225_1500,46051,2026,225,1500,2017-10,2017,0.04399470152656837,20.260000000000005,460.5100000000001,2017,10
11,90_2000,34105,10204,90,2000,2017-10,2017,0.299193666617798,102.04000000000002,341.05000000000007,2017,10
12,270_2500,30397,18938,270,2500,2017-10,2017,0.6230220087508636,189.38000000000002,303.9700000000001,2017,10
13,315_2500,30520,21838,315,2500,2017-10,2017,0.7155307994757536,218.38000000000005,305.20000000000005,2017,10
14,45_3000,14562,11819,45,3000,2017-10,2017,0.8116330174426589,118.19000000000003,145.62000000000003,2017,10
15,270_4000,15,15,270,4000,2017-10,2017,1.0,0.15000000000000002,0.15000000000000002,2017,10
16,180_4000,14,14,180,4000,2017-10,2017,1.0,0.14,0.14,2017,10
17,45_1500,51376,1616,45,1500,2017-10,2017,0.03145437558393024,16.160000000000004,513.7600000000001,2017,10
18,180_2500,23532,15651,180,2500,2017-10,2017,0.6650943396226415,156.51000000000002,235.32000000000005,2017,10
19,135_1500,59707,1980,135,1500,2017-10,2017,0.03316194081096019,19.800000000000004,597.0700000000002,2017,10
20,0_3500,3387,3167,0,3500,2017-10,2017,0.9350457632122823,31.670000000000005,33.870000000000005,2017,10
21,225_4000,9,7,225,4000,2017-10,2017,0.7777777777777778,0.07,0.09000000000000002,2017,10
22,90_1500,49408,1405,90,1500,2017-10,2017,0.028436690414507772,14.050000000000002,494.0800000000001,2017,10
23,135_3000,12382,9816,135,3000,2017-10,2017,0.7927636892262963,98.16000000000003,123.82000000000002,2017,10
24,45_4500,0,0,45,4500,2017-10,2017,,0.0,0.0,2017,10
25,225_2500,22701,13539,225,2500,2017-10,2017,0.5964054446940663,135.39000000000001,227.01000000000005,2017,10
26,270_3500,2746,1999,270,3500,2017-10,2017,0.7279679533867444,19.990000000000006,27.460000000000004,2017,10
27,315_3500,3532,3056,315,3500,2017-10,2017,0.8652321630804077,30.560000000000006,35.32000000000001,2017,10
28,45_2000,32185,10392,45,2000,2017-10,2017,0.32288333074413544,103.92000000000002,321.8500000000001,2017,10
29,90_3000,13201,9584,90,3000,2017-10,2017,0.7260056056359366,95.84000000000002,132.01000000000002,2017,10
30,180_3500,2232,1546,180,3500,2017-10,2017,0.692652329749104,15.460000000000003,22.320000000000004,2017,10
31,0_4500,0,0,0,4500,2017-10,2017,,0.0,0.0,2017,10
32,135_4000,14,12,135,4000,2017-10,2017,0.8571428571428571,0.12000000000000002,0.14,2017,10
33,90_2500,27594,18731,90,2500,2017-10,2017,0.6788069870261652,187.31000000000003,275.94000000000005,2017,10
34,135_2500,26251,18495,135,2500,2017-10,2017,0.7045445887775704,184.95000000000005,262.51000000000005,2017,10
35,315_2000,39226,11040,315,2000,2017-10,2017,0.281445979707337,110.40000000000002,392.2600000000001,2017,10
36,0_2000,35456,10212,0,2000,2017-10,2017,0.28801895306859204,102.12000000000002,354.56000000000006,2017,10
37,270_4500,0,0,270,4500,2017-10,2017,,0.0,0.0,2017,10
38,315_4500,0,0,315,4500,2017-10,2017,,0.0,0.0,2017,10
39,225_3500,2280,1462,225,3500,2017-10,2017,0.6412280701754386,14.620000000000003,22.800000000000004,2017,10
40,90_4000,20,17,90,4000,2017-10,2017,0.85,0.17000000000000004,0.20000000000000004,2017,10
41,270_2000,35246,8626,270,2000,2017-10,2017,0.2447369914316518,86.26000000000002,352.4600000000001,2017,10
42,315_1500,63820,1651,315,1500,2017-10,2017,0.02586963334377938,16.51,638.2000000000002,2017,10
43,180_2000,33139,8841,180,2000,2017-10,2017,0.2667853586408763,88.41000000000001,331.39000000000004,2017,10
44,180_4500,0,0,180,4500,2017-10,2017,,0.0,0.0,2017,10
45,45_3500,3164,2791,45,3500,2017-10,2017,0.8821112515802781,27.910000000000004,31.640000000000008,2017,10
46,0_1500,65477,1778,0,1500,2017-10,2017,0.02715457336163844,17.780000000000005,654.7700000000001,2017,10
47,270_1500,49944,1744,270,1500,2017-10,2017,0.03491910940253083,17.440000000000005,499.4400000000001,2017,10
48,90_3500,2915,2333,90,3500,2017-10,2017,0.8003430531732418,23.330000000000005,29.150000000000006,2017,10
49,135_3500,2452,1951,135,3500,2017-10,2017,0.7956769983686787,19.510000000000005,24.520000000000003,2017,10
50,315_3000,15789,12143,315,3000,2017-10,2017,0.7690797390588384,121.43000000000002,157.89000000000004,2017,10
51,0_3000,15932,13966,0,3000,2017-10,2017,0.8766005523474768,139.66000000000003,159.32000000000002,2017,10
52,225_2000,27108,6363,225,2000,2017-10,2017,0.23472775564409032,63.63000000000001,271.08000000000004,2017,10
53,270_3000,14820,10071,270,3000,2017-10,2017,0.6795546558704454,100.71000000000002,148.20000000000002,2017,10
54,45_4000,7,6,45,4000,2017-10,2017,0.8571428571428571,0.06000000000000001,0.07,2017,10
55,225_4500,0,0,225,4500,2017-10,2017,,0.0,0.0,2017,10
0,180_3000,11089,10193,180,3000,2017-11,2017,0.9191992064207773,101.93000000000002,110.89000000000001,2017,11
1,45_2500,26276,25173,45,2500,2017-11,2017,0.958022530065459,251.73000000000005,262.76000000000005,2017,11
2,0_2500,26644,25501,0,2500,2017-11,2017,0.9571010358804984,255.01000000000005,266.44000000000005,2017,11
3,180_1500,60409,20224,180,1500,2017-11,2017,0.3347845519707328,202.24000000000004,604.0900000000001,2017,11
4,135_2000,35129,27081,135,2000,2017-11,2017,0.7709015343448433,270.81000000000006,351.2900000000001,2017,11
5,0_4000,20,20,0,4000,2017-11,2017,1.0,0.20000000000000004,0.20000000000000004,2017,11
6,225_3000,12675,11655,225,3000,2017-11,2017,0.919526627218935,116.55000000000003,126.75000000000003,2017,11
7,315_4000,25,24,315,4000,2017-11,2017,0.96,0.24000000000000005,0.25000000000000006,2017,11
8,135_4500,0,0,135,4500,2017-11,2017,,0.0,0.0,2017,11
9,90_4500,0,0,90,4500,2017-11,2017,,0.0,0.0,2017,11
10,225_1500,46051,15252,225,1500,2017-11,2017,0.33119801958697964,152.52000000000004,460.5100000000001,2017,11
11,90_2000,34105,26265,90,2000,2017-11,2017,0.7701216830376778,262.65000000000003,341.05000000000007,2017,11
12,270_2500,30397,28059,270,2500,2017-11,2017,0.9230845149192355,280.59000000000003,303.9700000000001,2017,11
13,315_2500,30520,28703,315,2500,2017-11,2017,0.9404652686762779,287.03000000000003,305.20000000000005,2017,11
14,45_3000,14562,13499,45,3000,2017-11,2017,0.927001785469029,134.99000000000004,145.62000000000003,2017,11
15,270_4000,15,14,270,4000,2017-11,2017,0.9333333333333333,0.14,0.15000000000000002,2017,11
16,180_4000,14,13,180,4000,2017-11,2017,0.9285714285714286,0.13000000000000003,0.14,2017,11
17,45_1500,51376,11129,45,1500,2017-11,2017,0.21661865462472749,111.29000000000002,513.7600000000001,2017,11
18,180_2500,23532,20952,180,2500,2017-11,2017,0.8903620601733809,209.52000000000004,235.32000000000005,2017,11
19,135_1500,59707,19984,135,1500,2017-11,2017,0.3347011238213275,199.84000000000003,597.0700000000002,2017,11
20,0_3500,3387,3315,0,3500,2017-11,2017,0.978742249778565,33.150000000000006,33.870000000000005,2017,11
21,225_4000,9,9,225,4000,2017-11,2017,1.0,0.09000000000000002,0.09000000000000002,2017,11
22,90_1500,49408,16881,90,1500,2017-11,2017,0.34166531735751293,168.81000000000003,494.0800000000001,2017,11
23,135_3000,12382,11554,135,3000,2017-11,2017,0.9331287352608626,115.54000000000002,123.82000000000002,2017,11
24,45_4500,0,0,45,4500,2017-11,2017,,0.0,0.0,2017,11
25,225_2500,22701,20862,225,2500,2017-11,2017,0.9189903528478922,208.62000000000003,227.01000000000005,2017,11
26,270_3500,2746,2624,270,3500,2017-11,2017,0.9555717407137655,26.240000000000006,27.460000000000004,2017,11
27,315_3500,3532,3452,315,3500,2017-11,2017,0.9773499433748585,34.52000000000001,35.32000000000001,2017,11
28,45_2000,32185,23382,45,2000,2017-11,2017,0.7264874941743048,233.82000000000005,321.8500000000001,2017,11
29,90_3000,13201,12077,90,3000,2017-11,2017,0.9148549352321794,120.77000000000002,132.01000000000002,2017,11
30,180_3500,2232,1922,180,3500,2017-11,2017,0.8611111111111112,19.220000000000002,22.320000000000004,2017,11
31,0_4500,0,0,0,4500,2017-11,2017,,0.0,0.0,2017,11
32,135_4000,14,14,135,4000,2017-11,2017,1.0,0.14,0.14,2017,11
33,90_2500,27594,25745,90,2500,2017-11,2017,0.932992679568022,257.45000000000005,275.94000000000005,2017,11
34,135_2500,26251,24095,135,2500,2017-11,2017,0.9178697954363644,240.95000000000005,262.51000000000005,2017,11
35,315_2000,39226,25998,315,2000,2017-11,2017,0.6627746902564625,259.9800000000001,392.2600000000001,2017,11
36,0_2000,35456,23903,0,2000,2017-11,2017,0.6741595216606499,239.03000000000006,354.56000000000006,2017,11
37,270_4500,0,0,270,4500,2017-11,2017,,0.0,0.0,2017,11
38,315_4500,0,0,315,4500,2017-11,2017,,0.0,0.0,2017,11
39,225_3500,2280,2075,225,3500,2017-11,2017,0.9100877192982456,20.750000000000004,22.800000000000004,2017,11
40,90_4000,20,17,90,4000,2017-11,2017,0.85,0.17000000000000004,0.20000000000000004,2017,11
41,270_2000,35246,24706,270,2000,2017-11,2017,0.7009589740679794,247.06000000000006,352.4600000000001,2017,11
42,315_1500,63820,10489,315,1500,2017-11,2017,0.1643528674396741,104.89000000000001,638.2000000000002,2017,11
43,180_2000,33139,24753,180,2000,2017-11,2017,0.7469446875282899,247.53000000000006,331.39000000000004,2017,11
44,180_4500,0,0,180,4500,2017-11,2017,,0.0,0.0,2017,11
45,45_3500,3164,3058,45,3500,2017-11,2017,0.9664981036662452,30.580000000000005,31.640000000000008,2017,11
46,0_1500,65477,9905,0,1500,2017-11,2017,0.15127449333353696,99.05000000000003,654.7700000000001,2017,11
47,270_1500,49944,12766,270,1500,2017-11,2017,0.2556062790325164,127.66000000000003,499.4400000000001,2017,11
48,90_3500,2915,2702,90,3500,2017-11,2017,0.9269296740994855,27.020000000000007,29.150000000000006,2017,11
49,135_3500,2452,2208,135,3500,2017-11,2017,0.9004893964110929,22.080000000000005,24.520000000000003,2017,11
50,315_3000,15789,14778,315,3000,2017-11,2017,0.9359680790423712,147.78000000000003,157.89000000000004,2017,11
51,0_3000,15932,14984,0,3000,2017-11,2017,0.9404971127290986,149.84000000000003,159.32000000000002,2017,11
52,225_2000,27108,19797,225,2000,2017-11,2017,0.7303010181496238,197.97000000000003,271.08000000000004,2017,11
53,270_3000,14820,13423,270,3000,2017-11,2017,0.9057354925775979,134.23000000000002,148.20000000000002,2017,11
54,45_4000,7,6,45,4000,2017-11,2017,0.8571428571428571,0.06000000000000001,0.07,2017,11
55,225_4500,0,0,225,4500,2017-11,2017,,0.0,0.0,2017,11
0,180_3000,11089,9373,180,3000,2017-12,2017,0.8452520515826495,93.73000000000002,110.89000000000001,2017,12
1,45_2500,26276,25121,45,2500,2017-12,2017,0.9560435378291977,251.21000000000004,262.76000000000005,2017,12
2,0_2500,26644,25656,0,2500,2017-12,2017,0.9629184807086023,256.56000000000006,266.44000000000005,2017,12
3,180_1500,60409,45170,180,1500,2017-12,2017,0.7477362644639044,451.7000000000001,604.0900000000001,2017,12
4,135_2000,35129,32107,135,2000,2017-12,2017,0.9139742093427083,321.07000000000005,351.2900000000001,2017,12
5,0_4000,20,20,0,4000,2017-12,2017,1.0,0.20000000000000004,0.20000000000000004,2017,12
6,225_3000,12675,11497,225,3000,2017-12,2017,0.9070611439842209,114.97000000000003,126.75000000000003,2017,12
7,315_4000,25,25,315,4000,2017-12,2017,1.0,0.25000000000000006,0.25000000000000006,2017,12
8,135_4500,0,0,135,4500,2017-12,2017,,0.0,0.0,2017,12
9,90_4500,0,0,90,4500,2017-12,2017,,0.0,0.0,2017,12
10,225_1500,46051,35112,225,1500,2017-12,2017,0.7624590128335975,351.12000000000006,460.5100000000001,2017,12
11,90_2000,34105,30895,90,2000,2017-12,2017,0.9058789033866002,308.95000000000005,341.05000000000007,2017,12
12,270_2500,30397,28624,270,2500,2017-12,2017,0.941671875514031,286.24000000000007,303.9700000000001,2017,12
13,315_2500,30520,29173,315,2500,2017-12,2017,0.9558650065530799,291.7300000000001,305.20000000000005,2017,12
14,45_3000,14562,13654,45,3000,2017-12,2017,0.9376459277571763,136.54000000000002,145.62000000000003,2017,12
15,270_4000,15,14,270,4000,2017-12,2017,0.9333333333333333,0.14,0.15000000000000002,2017,12
16,180_4000,14,5,180,4000,2017-12,2017,0.35714285714285715,0.05000000000000001,0.14,2017,12
17,45_1500,51376,34999,45,1500,2017-12,2017,0.681232482092806,349.99000000000007,513.7600000000001,2017,12
18,180_2500,23532,20006,180,2500,2017-12,2017,0.850161482236954,200.06000000000003,235.32000000000005,2017,12
19,135_1500,59707,44639,135,1500,2017-12,2017,0.747634280737602,446.3900000000001,597.0700000000002,2017,12
20,0_3500,3387,3297,0,3500,2017-12,2017,0.9734278122232064,32.970000000000006,33.870000000000005,2017,12
21,225_4000,9,7,225,4000,2017-12,2017,0.7777777777777778,0.07,0.09000000000000002,2017,12
22,90_1500,49408,37362,90,1500,2017-12,2017,0.756193329015544,373.62000000000006,494.0800000000001,2017,12
23,135_3000,12382,10952,135,3000,2017-12,2017,0.8845097722500403,109.52000000000002,123.82000000000002,2017,12
24,45_4500,0,0,45,4500,2017-12,2017,,0.0,0.0,2017,12
25,225_2500,22701,20855,225,2500,2017-12,2017,0.9186819963878243,208.55000000000004,227.01000000000005,2017,12
26,270_3500,2746,2592,270,3500,2017-12,2017,0.943918426802622,25.920000000000005,27.460000000000004,2017,12
27,315_3500,3532,3423,315,3500,2017-12,2017,0.9691392978482446,34.230000000000004,35.32000000000001,2017,12
28,45_2000,32185,27685,45,2000,2017-12,2017,0.8601833152089483,276.8500000000001,321.8500000000001,2017,12
29,90_3000,13201,12216,90,3000,2017-12,2017,0.9253844405726839,122.16000000000003,132.01000000000002,2017,12
30,180_3500,2232,1630,180,3500,2017-12,2017,0.7302867383512545,16.300000000000004,22.320000000000004,2017,12
31,0_4500,0,0,0,4500,2017-12,2017,,0.0,0.0,2017,12
32,135_4000,14,7,135,4000,2017-12,2017,0.5,0.07,0.14,2017,12
33,90_2500,27594,25771,90,2500,2017-12,2017,0.9339349133869682,257.71000000000004,275.94000000000005,2017,12
34,135_2500,26251,23231,135,2500,2017-12,2017,0.8849567635518647,232.31000000000006,262.51000000000005,2017,12
35,315_2000,39226,31464,315,2000,2017-12,2017,0.8021210421659104,314.64000000000004,392.2600000000001,2017,12
36,0_2000,35456,29163,0,2000,2017-12,2017,0.8225124097472925,291.63000000000005,354.56000000000006,2017,12
37,270_4500,0,0,270,4500,2017-12,2017,,0.0,0.0,2017,12
38,315_4500,0,0,315,4500,2017-12,2017,,0.0,0.0,2017,12
39,225_3500,2280,1974,225,3500,2017-12,2017,0.8657894736842106,19.740000000000006,22.800000000000004,2017,12
