,class,wet,count,dry,aspect,elevation_below,year_month,season,percent_wet,km2_wet,km2_dry,km2_all,year,month
30,180_3500,281,2232,52,180,3500,2017-08,2017,0.8438438438438438,2.8100000000000005,0.5200000000000001,22.320000000000004,2017,08
31,0_4500,0,0,0,0,4500,2017-08,2017,,0.0,0.0,0.0,2017,08
32,135_4000,2,14,1,135,4000,2017-08,2017,0.6666666666666666,0.020000000000000004,0.010000000000000002,0.14,2017,08
33,90_2500,0,27594,0,90,2500,2017-08,2017,,0.0,0.0,275.94000000000005,2017,08
34,135_2500,0,26251,0,135,2500,2017-08,2017,,0.0,0.0,262.51000000000005,2017,08
35,315_2000,0,39226,0,315,2000,2017-08,2017,,0.0,0.0,392.2600000000001,2017,08
36,0_2000,0,35456,0,0,2000,2017-08,2017,,0.0,0.0,354.56000000000006,2017,08
37,270_4500,0,0,0,270,4500,2017-08,2017,,0.0,0.0,0.0,2017,08
38,315_4500,0,0,0,315,4500,2017-08,2017,,0.0,0.0,0.0,2017,08
39,225_3500,214,2280,70,225,3500,2017-08,2017,0.7535211267605634,2.1400000000000006,0.7000000000000002,22.800000000000004,2017,08
40,90_4000,1,20,0,90,4000,2017-08,2017,1.0,0.010000000000000002,0.0,0.20000000000000004,2017,08
41,270_2000,0,35246,0,270,2000,2017-08,2017,,0.0,0.0,352.4600000000001,2017,08
42,315_1500,0,63820,0,315,1500,2017-08,2017,,0.0,0.0,638.2000000000002,2017,08
43,180_2000,13,33139,0,180,2000,2017-08,2017,1.0,0.13000000000000003,0.0,331.39000000000004,2017,08
44,180_4500,0,0,0,180,4500,2017-08,2017,,0.0,0.0,0.0,2017,08
45,45_3500,1141,3164,158,45,3500,2017-08,2017,0.8783679753656659,11.410000000000002,1.5800000000000003,31.640000000000008,2017,08
46,0_1500,0,65477,0,0,1500,2017-08,2017,,0.0,0.0,654.7700000000001,2017,08
47,270_1500,0,49944,0,270,1500,2017-08,2017,,0.0,0.0,499.4400000000001,2017,08
48,90_3500,751,2915,179,90,3500,2017-08,2017,0.8075268817204301,7.510000000000002,1.7900000000000003,29.150000000000006,2017,08
49,135_3500,455,2452,103,135,3500,2017-08,2017,0.8154121863799283,4.550000000000001,1.0300000000000002,24.520000000000003,2017,08
50,315_3000,593,15789,204,315,3000,2017-08,2017,0.7440401505646174,5.9300000000000015,2.0400000000000005,157.89000000000004,2017,08
51,0_3000,1172,15932,312,0,3000,2017-08,2017,0.7897574123989218,11.720000000000002,3.1200000000000006,159.32000000000002,2017,08
52,225_2000,0,27108,0,225,2000,2017-08,2017,,0.0,0.0,271.08000000000004,2017,08
53,270_3000,217,14820,108,270,3000,2017-08,2017,0.6676923076923077,2.1700000000000004,1.0800000000000003,148.20000000000002,2017,08
54,45_4000,3,7,0,45,4000,2017-08,2017,1.0,0.030000000000000006,0.0,0.07,2017,08
55,225_4500,0,0,0,225,4500,2017-08,2017,,0.0,0.0,0.0,2017,08
0,180_3000,4083,11089,869,180,3000,2017-09,2017,0.8245153473344103,40.830000000000005,8.690000000000001,110.89000000000001,2017,09
1,45_2500,4444,26276,5571,45,2500,2017-09,2017,0.4437343984023964,44.44000000000001,55.71000000000001,262.76000000000005,2017,09
2,0_2500,5373,26644,4107,0,2500,2017-09,2017,0.5667721518987342,53.73000000000001,41.07000000000001,266.44000000000005,2017,09
3,180_1500,1,60409,17,180,1500,2017-09,2017,0.05555555555555555,0.010000000000000002,0.17000000000000004,604.0900000000001,2017,09
4,135_2000,1227,35129,1093,135,2000,2017-09,2017,0.5288793103448276,12.270000000000003,10.930000000000001,351.2900000000001,2017,09
5,0_4000,7,20,0,0,4000,2017-09,2017,1.0,0.07,0.0,0.20000000000000004,2017,09
6,225_3000,2638,12675,870,225,3000,2017-09,2017,0.7519954389965793,26.380000000000006,8.700000000000001,126.75000000000003,2017,09
7,315_4000,7,25,2,315,4000,2017-09,2017,0.7777777777777778,0.07,0.020000000000000004,0.25000000000000006,2017,09
8,135_4500,0,0,0,135,4500,2017-09,2017,,0.0,0.0,0.0,2017,09
9,90_4500,0,0,0,90,4500,2017-09,2017,,0.0,0.0,0.0,2017,09
10,225_1500,5,46051,54,225,1500,2017-09,2017,0.0847457627118644,0.05000000000000001,0.5400000000000001,460.5100000000001,2017,09
11,90_2000,1507,34105,1328,90,2000,2017-09,2017,0.5315696649029983,15.070000000000002,13.280000000000003,341.05000000000007,2017,09
12,270_2500,4887,30397,1831,270,2500,2017-09,2017,0.7274486454301875,48.87000000000001,18.310000000000002,303.9700000000001,2017,09
13,315_2500,5739,30520,3241,315,2500,2017-09,2017,0.639086859688196,57.39000000000001,32.410000000000004,305.20000000000005,2017,09
14,45_3000,4381,14562,3417,45,3000,2017-09,2017,0.5618107206976147,43.81000000000001,34.17000000000001,145.62000000000003,2017,09
15,270_4000,9,15,2,270,4000,2017-09,2017,0.8181818181818182,0.09000000000000002,0.020000000000000004,0.15000000000000002,2017,09
16,180_4000,7,14,0,180,4000,2017-09,2017,1.0,0.07,0.0,0.14,2017,09
17,45_1500,0,51376,8,45,1500,2017-09,2017,0.0,0.0,0.08000000000000002,513.7600000000001,2017,09
18,180_2500,4278,23532,1502,180,2500,2017-09,2017,0.7401384083044983,42.78000000000001,15.020000000000003,235.32000000000005,2017,09
19,135_1500,1,59707,3,135,1500,2017-09,2017,0.25,0.010000000000000002,0.030000000000000006,597.0700000000002,2017,09
20,0_3500,1600,3387,294,0,3500,2017-09,2017,0.8447729672650475,16.000000000000004,2.9400000000000004,33.870000000000005,2017,09
21,225_4000,4,9,1,225,4000,2017-09,2017,0.8,0.04000000000000001,0.010000000000000002,0.09000000000000002,2017,09
22,90_1500,0,49408,2,90,1500,2017-09,2017,0.0,0.0,0.020000000000000004,494.0800000000001,2017,09
23,135_3000,5274,12382,1959,135,3000,2017-09,2017,0.7291580257154707,52.74000000000001,19.590000000000003,123.82000000000002,2017,09
24,45_4500,0,0,0,45,4500,2017-09,2017,,0.0,0.0,0.0,2017,09
25,225_2500,3098,22701,1001,225,2500,2017-09,2017,0.7557940961210051,30.980000000000008,10.010000000000002,227.01000000000005,2017,09
26,270_3500,940,2746,260,270,3500,2017-09,2017,0.7833333333333333,9.400000000000002,2.6000000000000005,27.460000000000004,2017,09
27,315_3500,1351,3532,238,315,3500,2017-09,2017,0.8502202643171806,13.510000000000003,2.3800000000000003,35.32000000000001,2017,09
28,45_2000,1294,32185,1010,45,2000,2017-09,2017,0.5616319444444444,12.940000000000003,10.100000000000001,321.8500000000001,2017,09
29,90_3000,3685,13201,3757,90,3000,2017-09,2017,0.4951625907014243,36.85000000000001,37.57000000000001,132.01000000000002,2017,09
30,180_3500,1124,2232,118,180,3500,2017-09,2017,0.9049919484702094,11.240000000000002,1.1800000000000002,22.320000000000004,2017,09
31,0_4500,0,0,0,0,4500,2017-09,2017,,0.0,0.0,0.0,2017,09
32,135_4000,2,14,2,135,4000,2017-09,2017,0.5,0.020000000000000004,0.020000000000000004,0.14,2017,09
33,90_2500,3647,27594,5378,90,2500,2017-09,2017,0.4040997229916897,36.470000000000006,53.78000000000001,275.94000000000005,2017,09
34,135_2500,4973,26251,3396,135,2500,2017-09,2017,0.5942167523001554,49.73000000000001,33.96000000000001,262.51000000000005,2017,09
35,315_2000,1287,39226,468,315,2000,2017-09,2017,0.7333333333333333,12.870000000000003,4.680000000000001,392.2600000000001,2017,09
36,0_2000,1246,35456,799,0,2000,2017-09,2017,0.6092909535452323,12.460000000000003,7.990000000000002,354.56000000000006,2017,09
37,270_4500,0,0,0,270,4500,2017-09,2017,,0.0,0.0,0.0,2017,09
38,315_4500,0,0,0,315,4500,2017-09,2017,,0.0,0.0,0.0,2017,09
39,225_3500,740,2280,177,225,3500,2017-09,2017,0.806979280261723,7.400000000000001,1.7700000000000002,22.800000000000004,2017,09
40,90_4000,5,20,2,90,4000,2017-09,2017,0.7142857142857143,0.05000000000000001,0.020000000000000004,0.20000000000000004,2017,09
41,270_2000,1040,35246,445,270,2000,2017-09,2017,0.7003367003367004,10.400000000000002,4.450000000000001,352.4600000000001,2017,09
42,315_1500,0,63820,3,315,1500,2017-09,2017,0.0,0.0,0.030000000000000006,638.2000000000002,2017,09
43,180_2000,914,33139,851,180,2000,2017-09,2017,0.5178470254957507,9.140000000000002,8.510000000000002,331.39000000000004,2017,09
44,180_4500,0,0,0,180,4500,2017-09,2017,,0.0,0.0,0.0,2017,09
45,45_3500,1538,3164,481,45,3500,2017-09,2017,0.7617632491332342,15.380000000000003,4.8100000000000005,31.640000000000008,2017,09
46,0_1500,0,65477,1,0,1500,2017-09,2017,0.0,0.0,0.010000000000000002,654.7700000000001,2017,09
47,270_1500,1,49944,28,270,1500,2017-09,2017,0.034482758620689655,0.010000000000000002,0.28,499.4400000000001,2017,09
48,90_3500,1473,2915,630,90,3500,2017-09,2017,0.7004279600570613,14.730000000000002,6.300000000000002,29.150000000000006,2017,09
49,135_3500,1564,2452,299,135,3500,2017-09,2017,0.8395061728395061,15.640000000000002,2.9900000000000007,24.520000000000003,2017,09
50,315_3000,4254,15789,1881,315,3000,2017-09,2017,0.693398533007335,42.540000000000006,18.810000000000002,157.89000000000004,2017,09
51,0_3000,5335,15932,2414,0,3000,2017-09,2017,0.6884759323783715,53.35000000000001,24.140000000000004,159.32000000000002,2017,09
52,225_2000,747,27108,407,225,2000,2017-09,2017,0.6473136915077989,7.4700000000000015,4.070000000000001,271.08000000000004,2017,09
53,270_3000,3475,14820,1192,270,3000,2017-09,2017,0.7445896721662738,34.75000000000001,11.920000000000002,148.20000000000002,2017,09
54,45_4000,3,7,0,45,4000,2017-09,2017,1.0,0.030000000000000006,0.0,0.07,2017,09
55,225_4500,0,0,0,225,4500,2017-09,2017,,0.0,0.0,0.0,2017,09
0,180_3000,2511,11089,1963,180,3000,2017-10,2017,0.5612427358068842,25.110000000000007,19.630000000000003,110.89000000000001,2017,10
1,45_2500,4145,26276,3751,45,2500,2017-10,2017,0.5249493414387031,41.45000000000001,37.510000000000005,262.76000000000005,2017,10
2,0_2500,4235,26644,4555,0,2500,2017-10,2017,0.48179749715585896,42.35000000000001,45.55000000000001,266.44000000000005,2017,10
3,180_1500,50,60409,108,180,1500,2017-10,2017,0.31645569620253167,0.5000000000000001,1.0800000000000003,604.0900000000001,2017,10
4,135_2000,652,35129,1001,135,2000,2017-10,2017,0.39443436176648516,6.520000000000001,10.010000000000002,351.2900000000001,2017,10
5,0_4000,16,20,0,0,4000,2017-10,2017,1.0,0.16000000000000003,0.0,0.20000000000000004,2017,10
6,225_3000,2273,12675,3779,225,3000,2017-10,2017,0.3755783212161269,22.730000000000004,37.790000000000006,126.75000000000003,2017,10
7,315_4000,15,25,7,315,4000,2017-10,2017,0.6818181818181818,0.15000000000000002,0.07,0.25000000000000006,2017,10
8,135_4500,0,0,0,135,4500,2017-10,2017,,0.0,0.0,0.0,2017,10
9,90_4500,0,0,0,90,4500,2017-10,2017,,0.0,0.0,0.0,2017,10
10,225_1500,25,46051,159,225,1500,2017-10,2017,0.1358695652173913,0.25000000000000006,1.5900000000000003,460.5100000000001,2017,10
11,90_2000,895,34105,1241,90,2000,2017-10,2017,0.4190074906367041,8.950000000000001,12.410000000000002,341.05000000000007,2017,10
12,270_2500,1362,30397,9674,270,2500,2017-10,2017,0.12341428053642624,13.620000000000003,96.74000000000002,303.9700000000001,2017,10
13,315_2500,2335,30520,7508,315,2500,2017-10,2017,0.23722442344813574,23.350000000000005,75.08000000000001,305.20000000000005,2017,10
14,45_3000,3614,14562,3925,45,3000,2017-10,2017,0.4793739222708582,36.14000000000001,39.25000000000001,145.62000000000003,2017,10
15,270_4000,11,15,1,270,4000,2017-10,2017,0.9166666666666666,0.11000000000000001,0.010000000000000002,0.15000000000000002,2017,10
16,180_4000,7,14,3,180,4000,2017-10,2017,0.7,0.07,0.030000000000000006,0.14,2017,10
17,45_1500,58,51376,98,45,1500,2017-10,2017,0.3717948717948718,0.5800000000000001,0.9800000000000002,513.7600000000001,2017,10
18,180_2500,2908,23532,2747,180,2500,2017-10,2017,0.514235190097259,29.080000000000005,27.470000000000006,235.32000000000005,2017,10
19,135_1500,34,59707,83,135,1500,2017-10,2017,0.2905982905982906,0.3400000000000001,0.8300000000000002,597.0700000000002,2017,10
20,0_3500,1545,3387,1246,0,3500,2017-10,2017,0.553565030455034,15.450000000000003,12.460000000000003,33.870000000000005,2017,10
21,225_4000,4,9,1,225,4000,2017-10,2017,0.8,0.04000000000000001,0.010000000000000002,0.09000000000000002,2017,10
22,90_1500,39,49408,90,90,1500,2017-10,2017,0.3023255813953488,0.39000000000000007,0.9000000000000001,494.0800000000001,2017,10
23,135_3000,1847,12382,1930,135,3000,2017-10,2017,0.48901244373841674,18.470000000000002,19.300000000000004,123.82000000000002,2017,10
24,45_4500,0,0,0,45,4500,2017-10,2017,,0.0,0.0,0.0,2017,10
25,225_2500,2366,22701,5664,225,2500,2017-10,2017,0.2946450809464508,23.660000000000004,56.64000000000001,227.01000000000005,2017,10
26,270_3500,754,2746,865,270,3500,2017-10,2017,0.4657195799876467,7.540000000000002,8.650000000000002,27.460000000000004,2017,10
27,315_3500,1262,3532,1198,315,3500,2017-10,2017,0.5130081300813009,12.620000000000003,11.980000000000002,35.32000000000001,2017,10
28,45_2000,1317,32185,1560,45,2000,2017-10,2017,0.45776850886339937,13.170000000000002,15.600000000000003,321.8500000000001,2017,10
29,90_3000,1928,13201,2825,90,3000,2017-10,2017,0.4056385440774248,19.280000000000005,28.250000000000007,132.01000000000002,2017,10
30,180_3500,939,2232,286,180,3500,2017-10,2017,0.7665306122448979,9.390000000000002,2.8600000000000008,22.320000000000004,2017,10
31,0_4500,0,0,0,0,4500,2017-10,2017,,0.0,0.0,0.0,2017,10
32,135_4000,7,14,1,135,4000,2017-10,2017,0.875,0.07,0.010000000000000002,0.14,2017,10
33,90_2500,2165,27594,2659,90,2500,2017-10,2017,0.4487976782752902,21.650000000000006,26.590000000000003,275.94000000000005,2017,10
34,135_2500,1843,26251,2016,135,2500,2017-10,2017,0.47758486654573723,18.430000000000003,20.160000000000004,262.51000000000005,2017,10
35,315_2000,447,39226,2341,315,2000,2017-10,2017,0.1603299856527977,4.470000000000001,23.410000000000004,392.2600000000001,2017,10
36,0_2000,878,35456,1801,0,2000,2017-10,2017,0.3277342291899963,8.780000000000001,18.010000000000005,354.56000000000006,2017,10
37,270_4500,0,0,0,270,4500,2017-10,2017,,0.0,0.0,0.0,2017,10
38,315_4500,0,0,0,315,4500,2017-10,2017,,0.0,0.0,0.0,2017,10
39,225_3500,763,2280,466,225,3500,2017-10,2017,0.6208299430431244,7.630000000000002,4.660000000000001,22.800000000000004,2017,10
40,90_4000,5,20,4,90,4000,2017-10,2017,0.5555555555555556,0.05000000000000001,0.04000000000000001,0.20000000000000004,2017,10
41,270_2000,281,35246,3150,270,2000,2017-10,2017,0.08190032060623725,2.8100000000000005,31.500000000000007,352.4600000000001,2017,10
42,315_1500,15,63820,170,315,1500,2017-10,2017,0.08108108108108109,0.15000000000000002,1.7000000000000004,638.2000000000002,2017,10
43,180_2000,582,33139,1649,180,2000,2017-10,2017,0.2608695652173913,5.820000000000001,16.490000000000002,331.39000000000004,2017,10
44,180_4500,0,0,0,180,4500,2017-10,2017,,0.0,0.0,0.0,2017,10
45,45_3500,1350,3164,969,45,3500,2017-10,2017,0.5821474773609314,13.500000000000002,9.690000000000001,31.640000000000008,2017,10
46,0_1500,38,65477,138,0,1500,2017-10,2017,0.2159090909090909,0.38000000000000006,1.3800000000000003,654.7700000000001,2017,10
47,270_1500,17,49944,222,270,1500,2017-10,2017,0.07112970711297072,0.17000000000000004,2.2200000000000006,499.4400000000001,2017,10
48,90_3500,1076,2915,814,90,3500,2017-10,2017,0.5693121693121693,10.760000000000002,8.140000000000002,29.150000000000006,2017,10
49,135_3500,1029,2452,433,135,3500,2017-10,2017,0.7038303693570451,10.290000000000003,4.330000000000001,24.520000000000003,2017,10
50,315_3000,2689,15789,4835,315,3000,2017-10,2017,0.35738968633705476,26.890000000000004,48.35000000000001,157.89000000000004,2017,10
51,0_3000,4767,15932,4985,0,3000,2017-10,2017,0.4888228055783429,47.67000000000001,49.85000000000001,159.32000000000002,2017,10
52,225_2000,373,27108,2445,225,2000,2017-10,2017,0.13236337828246983,3.730000000000001,24.450000000000006,271.08000000000004,2017,10
53,270_3000,1645,14820,5023,270,3000,2017-10,2017,0.2467006598680264,16.450000000000003,50.23000000000001,148.20000000000002,2017,10
54,45_4000,4,7,0,45,4000,2017-10,2017,1.0,0.04000000000000001,0.0,0.07,2017,10
55,225_4500,0,0,0,225,4500,2017-10,2017,,0.0,0.0,0.0,2017,10
0,180_3000,2347,11089,2948,180,3000,2017-11,2017,0.4432483474976393,23.470000000000006,29.480000000000004,110.89000000000001,2017,11
1,45_2500,5738,26276,13550,45,2500,2017-11,2017,0.29749066777270844,57.38000000000001,135.50000000000003,262.76000000000005,2017,11
2,0_2500,8001,26644,11926,0,2500,2017-11,2017,0.40151553169067095,80.01000000000002,119.26000000000002,266.44000000000005,2017,11
3,180_1500,581,60409,3863,180,1500,2017-11,2017,0.13073807380738073,5.810000000000001,38.63000000000001,604.0900000000001,2017,11
4,135_2000,2897,35129,10365,135,2000,2017-11,2017,0.21844367365404915,28.970000000000006,103.65000000000002,351.2900000000001,2017,11
5,0_4000,7,20,5,0,4000,2017-11,2017,0.5833333333333334,0.07,0.05000000000000001,0.20000000000000004,2017,11
6,225_3000,815,12675,2910,225,3000,2017-11,2017,0.21879194630872484,8.150000000000002,29.100000000000005,126.75000000000003,2017,11
7,315_4000,8,25,5,315,4000,2017-11,2017,0.6153846153846154,0.08000000000000002,0.05000000000000001,0.25000000000000006,2017,11
8,135_4500,0,0,0,135,4500,2017-11,2017,,0.0,0.0,0.0,2017,11
9,90_4500,0,0,0,90,4500,2017-11,2017,,0.0,0.0,0.0,2017,11
10,225_1500,400,46051,2674,225,1500,2017-11,2017,0.13012361743656473,4.000000000000001,26.740000000000006,460.5100000000001,2017,11
11,90_2000,2420,34105,11070,90,2000,2017-11,2017,0.1793921423276501,24.200000000000006,110.70000000000002,341.05000000000007,2017,11
12,270_2500,3757,30397,12659,270,2500,2017-11,2017,0.22886208576998052,37.57000000000001,126.59000000000002,303.9700000000001,2017,11
13,315_2500,6856,30520,12921,315,2500,2017-11,2017,0.34666531829903424,68.56000000000002,129.21000000000004,305.20000000000005,2017,11
14,45_3000,1387,14562,8875,45,3000,2017-11,2017,0.13515883843305398,13.870000000000003,88.75000000000001,145.62000000000003,2017,11
15,270_4000,4,15,2,270,4000,2017-11,2017,0.6666666666666666,0.04000000000000001,0.020000000000000004,0.15000000000000002,2017,11
16,180_4000,0,14,1,180,4000,2017-11,2017,0.0,0.0,0.010000000000000002,0.14,2017,11
17,45_1500,362,51376,3468,45,1500,2017-11,2017,0.09451697127937336,3.6200000000000006,34.68000000000001,513.7600000000001,2017,11
18,180_2500,4996,23532,7016,180,2500,2017-11,2017,0.41591741591741593,49.96000000000001,70.16000000000001,235.32000000000005,2017,11
19,135_1500,770,59707,5206,135,1500,2017-11,2017,0.1288487282463186,7.700000000000001,52.06000000000001,597.0700000000002,2017,11
20,0_3500,535,3387,1958,0,3500,2017-11,2017,0.21460088247091857,5.350000000000001,19.580000000000005,33.870000000000005,2017,11
21,225_4000,0,9,0,225,4000,2017-11,2017,,0.0,0.0,0.09000000000000002,2017,11
22,90_1500,620,49408,5442,90,1500,2017-11,2017,0.1022764764104256,6.200000000000001,54.42000000000001,494.0800000000001,2017,11
23,135_3000,3810,12382,5881,135,3000,2017-11,2017,0.3931482819110515,38.10000000000001,58.81000000000001,123.82000000000002,2017,11
24,45_4500,0,0,0,45,4500,2017-11,2017,,0.0,0.0,0.0,2017,11
25,225_2500,2429,22701,8259,225,2500,2017-11,2017,0.22726422155688622,24.290000000000006,82.59000000000002,227.01000000000005,2017,11
26,270_3500,201,2746,967,270,3500,2017-11,2017,0.1720890410958904,2.0100000000000002,9.670000000000002,27.460000000000004,2017,11
27,315_3500,531,3532,1465,315,3500,2017-11,2017,0.26603206412825653,5.310000000000001,14.650000000000002,35.32000000000001,2017,11
28,45_2000,1997,32185,8632,45,2000,2017-11,2017,0.18788220905071032,19.970000000000002,86.32000000000002,321.8500000000001,2017,11
29,90_3000,1677,13201,8448,90,3000,2017-11,2017,0.16562962962962963,16.770000000000003,84.48000000000002,132.01000000000002,2017,11
30,180_3500,301,2232,752,180,3500,2017-11,2017,0.2858499525166192,3.0100000000000007,7.520000000000001,22.320000000000004,2017,11
31,0_4500,0,0,0,0,4500,2017-11,2017,,0.0,0.0,0.0,2017,11
32,135_4000,2,14,7,135,4000,2017-11,2017,0.2222222222222222,0.020000000000000004,0.07,0.14,2017,11
33,90_2500,5388,27594,14863,90,2500,2017-11,2017,0.26606093526245617,53.88000000000001,148.63000000000002,275.94000000000005,2017,11
34,135_2500,7570,26251,11536,135,2500,2017-11,2017,0.39621061446665967,75.70000000000002,115.36000000000003,262.51000000000005,2017,11
35,315_2000,1637,39226,6532,315,2000,2017-11,2017,0.20039172481331866,16.370000000000005,65.32000000000001,392.2600000000001,2017,11
36,0_2000,2133,35456,7703,0,2000,2017-11,2017,0.21685644570963805,21.330000000000005,77.03000000000002,354.56000000000006,2017,11
37,270_4500,0,0,0,270,4500,2017-11,2017,,0.0,0.0,0.0,2017,11
38,315_4500,0,0,0,315,4500,2017-11,2017,,0.0,0.0,0.0,2017,11
39,225_3500,143,2280,540,225,3500,2017-11,2017,0.20937042459736457,1.4300000000000004,5.400000000000001,22.800000000000004,2017,11
40,90_4000,0,20,6,90,4000,2017-11,2017,0.0,0.0,0.06000000000000001,0.20000000000000004,2017,11
41,270_2000,1028,35246,5750,270,2000,2017-11,2017,0.1516671584538212,10.280000000000001,57.500000000000014,352.4600000000001,2017,11
42,315_1500,367,63820,2728,315,1500,2017-11,2017,0.118578352180937,3.670000000000001,27.280000000000005,638.2000000000002,2017,11
43,180_2000,2060,33139,8289,180,2000,2017-11,2017,0.19905304860372983,20.600000000000005,82.89000000000001,331.39000000000004,2017,11
44,180_4500,0,0,0,180,4500,2017-11,2017,,0.0,0.0,0.0,2017,11
45,45_3500,374,3164,1818,45,3500,2017-11,2017,0.17062043795620438,3.7400000000000007,18.180000000000003,31.640000000000008,2017,11
46,0_1500,336,65477,2778,0,1500,2017-11,2017,0.10789980732177264,3.3600000000000008,27.780000000000005,654.7700000000001,2017,11
47,270_1500,332,49944,2790,270,1500,2017-11,2017,0.10634208840486867,3.3200000000000007,27.900000000000006,499.4400000000001,2017,11
48,90_3500,280,2915,1952,90,3500,2017-11,2017,0.12544802867383512,2.8000000000000007,19.520000000000003,29.150000000000006,2017,11
49,135_3500,378,2452,1505,135,3500,2017-11,2017,0.20074349442379183,3.7800000000000007,15.050000000000002,24.520000000000003,2017,11
50,315_3000,1825,15789,7564,315,3000,2017-11,2017,0.19437639791245073,18.250000000000004,75.64000000000001,157.89000000000004,2017,11
51,0_3000,2274,15932,9455,0,3000,2017-11,2017,0.19387842100775854,22.740000000000006,94.55000000000001,159.32000000000002,2017,11
52,225_2000,1021,27108,5748,225,2000,2017-11,2017,0.15083468754616636,10.210000000000003,57.48000000000001,271.08000000000004,2017,11
53,270_3000,1125,14820,4836,270,3000,2017-11,2017,0.1887267237040765,11.250000000000002,48.36000000000001,148.20000000000002,2017,11
54,45_4000,2,7,2,45,4000,2017-11,2017,0.5,0.020000000000000004,0.020000000000000004,0.07,2017,11
55,225_4500,0,0,0,225,4500,2017-11,2017,,0.0,0.0,0.0,2017,11
0,180_3000,962,11089,4064,180,3000,2017-12,2017,0.19140469558296858,9.620000000000001,40.64000000000001,110.89000000000001,2017,12
1,45_2500,3637,26276,12214,45,2500,2017-12,2017,0.22944924610434672,36.370000000000005,122.14000000000003,262.76000000000005,2017,12
2,0_2500,4138,26644,12698,0,2500,2017-12,2017,0.24578284628177716,41.38000000000001,126.98000000000002,266.44000000000005,2017,12
3,180_1500,4520,60409,7567,180,1500,2017-12,2017,0.3739554893687433,45.20000000000001,75.67000000000002,604.0900000000001,2017,12
4,135_2000,1981,35129,10822,135,2000,2017-12,2017,0.15472936030617823,19.810000000000002,108.22000000000003,351.2900000000001,2017,12
5,0_4000,0,20,2,0,4000,2017-12,2017,0.0,0.0,0.020000000000000004,0.20000000000000004,2017,12
